DOSBox version 0.72
Copyright 2002-2007 DOSBox Team, published under GNU GPL.
---
CONFIG:Loading primary settings from config file /home/fraggle/.dosboxrc
MIDI:Can't find device:alsa, finding default handler.
MIDI:Opened device:none
Serial1: Modem could not open TCP port 23.
OPL_write: 0, 4
OPL_write: 1, 60
OPL_write: 0, 4
OPL_write: 1, 80
OPL_write: 0, 2
OPL_write: 1, ff
OPL_write: 0, 4
OPL_write: 1, 21
OPL_write: 0, 4
OPL_write: 1, 60
OPL_write: 0, 4
OPL_write: 1, 80
OPL_write: 0, 4
OPL_write: 1, 60
OPL_write: 0, 4
OPL_write: 1, 80
OPL_write: 0, 2
OPL_write: 1, ff
OPL_write: 0, 4
OPL_write: 1, 21
OPL_write: 0, 4
OPL_write: 1, 60
OPL_write: 0, 4
OPL_write: 1, 80
OPL_write: 0, 40
OPL_write: 1, 3f
OPL_write: 0, 41
OPL_write: 1, 3f
OPL_write: 0, 42
OPL_write: 1, 3f
OPL_write: 0, 43
OPL_write: 1, 3f
OPL_write: 0, 44
OPL_write: 1, 3f
OPL_write: 0, 45
OPL_write: 1, 3f
OPL_write: 0, 46
OPL_write: 1, 3f
OPL_write: 0, 47
OPL_write: 1, 3f
OPL_write: 0, 48
OPL_write: 1, 3f
OPL_write: 0, 49
OPL_write: 1, 3f
OPL_write: 0, 4a
OPL_write: 1, 3f
OPL_write: 0, 4b
OPL_write: 1, 3f
OPL_write: 0, 4c
OPL_write: 1, 3f
OPL_write: 0, 4d
OPL_write: 1, 3f
OPL_write: 0, 4e
OPL_write: 1, 3f
OPL_write: 0, 4f
OPL_write: 1, 3f
OPL_write: 0, 50
OPL_write: 1, 3f
OPL_write: 0, 51
OPL_write: 1, 3f
OPL_write: 0, 52
OPL_write: 1, 3f
OPL_write: 0, 53
OPL_write: 1, 3f
OPL_write: 0, 54
OPL_write: 1, 3f
OPL_write: 0, 55
OPL_write: 1, 3f
OPL_write: 0, 60
OPL_write: 1, 0
OPL_write: 0, 61
OPL_write: 1, 0
OPL_write: 0, 62
OPL_write: 1, 0
OPL_write: 0, 63
OPL_write: 1, 0
OPL_write: 0, 64
OPL_write: 1, 0
OPL_write: 0, 65
OPL_write: 1, 0
OPL_write: 0, 66
OPL_write: 1, 0
OPL_write: 0, 67
OPL_write: 1, 0
OPL_write: 0, 68
OPL_write: 1, 0
OPL_write: 0, 69
OPL_write: 1, 0
OPL_write: 0, 6a
OPL_write: 1, 0
OPL_write: 0, 6b
OPL_write: 1, 0
OPL_write: 0, 6c
OPL_write: 1, 0
OPL_write: 0, 6d
OPL_write: 1, 0
OPL_write: 0, 6e
OPL_write: 1, 0
OPL_write: 0, 6f
OPL_write: 1, 0
OPL_write: 0, 70
OPL_write: 1, 0
OPL_write: 0, 71
OPL_write: 1, 0
OPL_write: 0, 72
OPL_write: 1, 0
OPL_write: 0, 73
OPL_write: 1, 0
OPL_write: 0, 74
OPL_write: 1, 0
OPL_write: 0, 75
OPL_write: 1, 0
OPL_write: 0, 76
OPL_write: 1, 0
OPL_write: 0, 77
OPL_write: 1, 0
OPL_write: 0, 78
OPL_write: 1, 0
OPL_write: 0, 79
OPL_write: 1, 0
OPL_write: 0, 7a
OPL_write: 1, 0
OPL_write: 0, 7b
OPL_write: 1, 0
OPL_write: 0, 7c
OPL_write: 1, 0
OPL_write: 0, 7d
OPL_write: 1, 0
OPL_write: 0, 7e
OPL_write: 1, 0
OPL_write: 0, 7f
OPL_write: 1, 0
OPL_write: 0, 80
OPL_write: 1, 0
OPL_write: 0, 81
OPL_write: 1, 0
OPL_write: 0, 82
OPL_write: 1, 0
OPL_write: 0, 83
OPL_write: 1, 0
OPL_write: 0, 84
OPL_write: 1, 0
OPL_write: 0, 85
OPL_write: 1, 0
OPL_write: 0, 86
OPL_write: 1, 0
OPL_write: 0, 87
OPL_write: 1, 0
OPL_write: 0, 88
OPL_write: 1, 0
OPL_write: 0, 89
OPL_write: 1, 0
OPL_write: 0, 8a
OPL_write: 1, 0
OPL_write: 0, 8b
OPL_write: 1, 0
OPL_write: 0, 8c
OPL_write: 1, 0
OPL_write: 0, 8d
OPL_write: 1, 0
OPL_write: 0, 8e
OPL_write: 1, 0
OPL_write: 0, 8f
OPL_write: 1, 0
OPL_write: 0, 90
OPL_write: 1, 0
OPL_write: 0, 91
OPL_write: 1, 0
OPL_write: 0, 92
OPL_write: 1, 0
OPL_write: 0, 93
OPL_write: 1, 0
OPL_write: 0, 94
OPL_write: 1, 0
OPL_write: 0, 95
OPL_write: 1, 0
OPL_write: 0, 96
OPL_write: 1, 0
OPL_write: 0, 97
OPL_write: 1, 0
OPL_write: 0, 98
OPL_write: 1, 0
OPL_write: 0, 99
OPL_write: 1, 0
OPL_write: 0, 9a
OPL_write: 1, 0
OPL_write: 0, 9b
OPL_write: 1, 0
OPL_write: 0, 9c
OPL_write: 1, 0
OPL_write: 0, 9d
OPL_write: 1, 0
OPL_write: 0, 9e
OPL_write: 1, 0
OPL_write: 0, 9f
OPL_write: 1, 0
OPL_write: 0, a0
OPL_write: 1, 0
OPL_write: 0, a1
OPL_write: 1, 0
OPL_write: 0, a2
OPL_write: 1, 0
OPL_write: 0, a3
OPL_write: 1, 0
OPL_write: 0, a4
OPL_write: 1, 0
OPL_write: 0, a5
OPL_write: 1, 0
OPL_write: 0, a6
OPL_write: 1, 0
OPL_write: 0, a7
OPL_write: 1, 0
OPL_write: 0, a8
OPL_write: 1, 0
OPL_write: 0, a9
OPL_write: 1, 0
OPL_write: 0, aa
OPL_write: 1, 0
OPL_write: 0, ab
OPL_write: 1, 0
OPL_write: 0, ac
OPL_write: 1, 0
OPL_write: 0, ad
OPL_write: 1, 0
OPL_write: 0, ae
OPL_write: 1, 0
OPL_write: 0, af
OPL_write: 1, 0
OPL_write: 0, b0
OPL_write: 1, 0
OPL_write: 0, b1
OPL_write: 1, 0
OPL_write: 0, b2
OPL_write: 1, 0
OPL_write: 0, b3
OPL_write: 1, 0
OPL_write: 0, b4
OPL_write: 1, 0
OPL_write: 0, b5
OPL_write: 1, 0
OPL_write: 0, b6
OPL_write: 1, 0
OPL_write: 0, b7
OPL_write: 1, 0
OPL_write: 0, b8
OPL_write: 1, 0
OPL_write: 0, b9
OPL_write: 1, 0
OPL_write: 0, ba
OPL_write: 1, 0
OPL_write: 0, bb
OPL_write: 1, 0
